datetime,temperature_c,humidity_pct,sensor_id,location
2024-06-07 06:30:00,18.23,56.17,SENSOR_002,cocina
2024-06-10 03:30:00,18.09,56.44,SENSOR_003,dormitorio
2024-06-01 14:00:00,24.99,54.4,SENSOR_001,salon
2024-06-03 13:30:00,27.79,50.56,SENSOR_002,cocina
2024-06-11 07:00:00,21.6,68.07,SENSOR_004,exterior
2024-06-12 18:30:00,22.88,52.62,SENSOR_001,salon
2024-06-11 17:00:00,22.8,59.61,SENSOR_001,salon
2024-06-07 04:00:00,17.34,59.87,SENSOR_002,cocina
2024-06-04 12:30:00,23.6,58.0,SENSOR_003,dormitorio
2024-06-03 19:00:00,20.98,50.84,SENSOR_003,dormitorio
2024-06-05 21:00:00,11.43,76.99,SENSOR_004,exterior
2024-06-09 05:00:00,16.0,67.19,SENSOR_004,exterior
2024-06-09 21:30:00,19.87,55.87,SENSOR_003,dormitorio
2024-06-05 18:30:00,23.46,51.02,SENSOR_002,cocina
2024-06-13 02:00:00,17.5,58.47,SENSOR_003,dormitorio
2024-06-14 10:00:00,26.26,51.54,SENSOR_002,cocina
2024-06-07 19:00:00,19.89,50.14,SENSOR_002,cocina
2024-06-11 04:00:00,12.13,75.32,SENSOR_004,exterior
2024-06-03 16:30:00,23.5,53.17,SENSOR_001,salon
2024-06-14 18:00:00,17.33,68.61,SENSOR_004,exterior
2024-06-11 12:30:00,26.08,53.78,SENSOR_002,cocina
2024-06-02 16:30:00,23.35,62.99,SENSOR_004,exterior
2024-06-08 08:00:00,20.99,52.73,SENSOR_003,dormitorio
2024-06-03 16:00:00,24.63,58.34,SENSOR_001,salon
2024-06-02 22:30:00,17.64,53.19,SENSOR_002,cocina
2024-06-05 00:00:00,19.1,54.01,SENSOR_001,salon
2024-06-02 15:00:00,26.27,54.29,SENSOR_002,cocina
2024-06-02 01:00:00,16.26,58.45,SENSOR_002,cocina
2024-06-05 04:00:00,17.19,53.37,SENSOR_003,dormitorio
2024-06-03 23:30:00,18.0,60.0,SENSOR_001,salon
